epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,1,,,
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,2,,,
3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,2,,,
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,3,,,
5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,4,,,
6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,4,,,
7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,5,,,
8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,6,,,
9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,7,,,
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,7,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,8,,,
12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,9,,,
13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,10,,,
14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,10,,,
15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,11,,,
16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,12,,,
17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,13,,,
18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,13,,,
19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,14,,,
20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,15,0.0000,0.0000,0.0000
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,16,,,
22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,16,,,
23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,17,,,
24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,18,,,
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,18,,,
26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,19,,,
27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,20,,,
28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,21,,,
29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,21,,,
30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,22,0.0000,0.0000,0.0000
31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,23,,,
32,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,24,,,
33,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,24,,,
34,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,25,,,
35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,26,,,
36,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,26,,,
37,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,27,,,
38,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,28,,,
39,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,29,,,
40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,29,0.0000,0.0000,0.0000
41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,30,,,
42,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,31,,,
43,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,32,,,
44,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,32,,,
45,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,33,,,
46,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,34,,,
47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,35,,,
48,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,35,,,
49,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,36,,,
50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,37,0.0000,0.0000,0.0000
